feature_index,mean_activation,max_activation,activation_density,top_concepts
4161,0.6341221332550049,4.875,0.529411792755127,"[{""concept_label"": ""legal_reasoning"", ""score"": 7.57874870300293, ""mean_inside"": 0.15234375, ""mean_outside"": 0.017342431470751762}]"
5772,0.917657196521759,4.75,0.7828054428100586,"[{""concept_label"": ""legal_reasoning"", ""score"": 6.285520076751709, ""mean_inside"": 0.1689453125, ""mean_outside"": 0.032508306205272675}]"
2457,0.7337685823440552,4.6875,0.6651583909988403,"[{""concept_label"": ""medical_safety"", ""score"": 7.2654218673706055, ""mean_inside"": 0.0968424454331398, ""mean_outside"": 0.026376577094197273}]"
21,0.3741101622581482,4.5,0.37556561827659607,"[{""concept_label"": ""legal_reasoning"", ""score"": 7.031459331512451, ""mean_inside"": 0.075439453125, ""mean_outside"": 0.012276172637939453}]"
4100,1.2124346494674683,3.65625,0.9773755669593811,"[{""concept_label"": ""medical_safety"", ""score"": 6.814443111419678, ""mean_inside"": 0.181640625, ""mean_outside"": 0.038470927625894547}]"
2004,0.27771052718162537,3.65625,0.22171945869922638,"[{""concept_label"": ""medical_safety"", ""score"": 12.844738960266113, ""mean_inside"": 0.0797526016831398, ""mean_outside"": 4.783043550560251e-05}]"
7031,0.3130181133747101,3.515625,0.36199095845222473,"[{""concept_label"": ""factual_recall"", ""score"": 4.040250778198242, ""mean_inside"": 0.06298828125, ""mean_outside"": 0.01381632499396801}]"
2964,0.18432892858982086,3.5,0.12669683992862701,"[{""concept_label"": ""legal_reasoning"", ""score"": 12.687450408935547, ""mean_inside"": 0.077392578125, ""mean_outside"": 0.0003215244796592742}]"
1702,0.3287486135959625,3.359375,0.36199095845222473,"[{""concept_label"": ""legal_reasoning"", ""score"": 6.787990093231201, ""mean_inside"": 0.096435546875, ""mean_outside"": 0.006523064337670803}]"
1792,0.8958069086074829,3.34375,0.6606335043907166,"[{""concept_label"": ""medical_safety"", ""score"": 6.9690046310424805, ""mean_inside"": 0.1422526091337204, ""mean_outside"": 0.026636270806193352}]"
2203,0.3404063284397125,3.296875,0.2760181128978729,"[{""concept_label"": ""medical_safety"", ""score"": 7.799339771270752, ""mean_inside"": 0.0921223983168602, ""mean_outside"": 0.0013417646987363696}]"
6107,0.07089247554540634,3.203125,0.1085972860455513,"[{""concept_label"": ""causal_reasoning"", ""score"": 11.959259986877441, ""mean_inside"": 0.02490234375, ""mean_outside"": 0.0024200440384447575}]"
4935,0.07868177443742752,3.015625,0.05882352963089943,"[{""concept_label"": ""bias_sensitive"", ""score"": 3.262796640396118, ""mean_inside"": 0.0110015869140625, ""mean_outside"": 0.001995086669921875}]"
2916,0.5920640826225281,2.921875,0.7511312365531921,"[{""concept_label"": ""factual_recall"", ""score"": 4.182754993438721, ""mean_inside"": 0.08740234375, ""mean_outside"": 0.02822672575712204}]"
4510,0.2097659558057785,2.921875,0.28959277272224426,"[{""concept_label"": ""legal_reasoning"", ""score"": 6.884283542633057, ""mean_inside"": 0.06103515625, ""mean_outside"": 0.0042092460207641125}]"
3273,0.17953892052173615,2.6875,0.19004525244235992,"[{""concept_label"": ""medical_safety"", ""score"": 13.180935859680176, ""mean_inside"": 0.04248046875, ""mean_outside"": 0.0021280141081660986}]"
2598,0.2239304631948471,2.546875,0.4524886906147003,"[{""concept_label"": ""factual_recall"", ""score"": 8.620872497558594, ""mean_inside"": 0.059326171875, ""mean_outside"": 0.00894266739487648}]"
6396,0.1156143918633461,2.40625,0.07239819318056107,"[{""concept_label"": ""sentiment"", ""score"": 1.168829083442688, ""mean_inside"": 0.00806427001953125, ""mean_outside"": 0.0056292214430868626}]"
5012,0.10338305681943893,2.359375,0.1085972860455513,"[{""concept_label"": ""bias_sensitive"", ""score"": 3.5133635997772217, ""mean_inside"": 0.0121612548828125, ""mean_outside"": 0.0033842723350971937}]"
1084,0.06029941886663437,2.3125,0.05429864302277565,"[{""concept_label"": ""bias_sensitive"", ""score"": 3.4329476356506348, ""mean_inside"": 0.00913238525390625, ""mean_outside"": 0.0012971559772267938}]"
3394,0.15482023358345032,2.171875,0.2986425459384918,"[{""concept_label"": ""medical_safety"", ""score"": 10.3465576171875, ""mean_inside"": 0.0372721366584301, ""mean_outside"": 0.0016657388769090176}]"
4424,0.05433841049671173,2.15625,0.04524886980652809,"[{""concept_label"": ""bias_sensitive"", ""score"": 3.3099241256713867, ""mean_inside"": 0.007843017578125, ""mean_outside"": 0.0012966791400685906}]"
4020,0.04712466523051262,2.015625,0.08144796639680862,"[{""concept_label"": ""sentiment"", ""score"": 1.2570514678955078, ""mean_inside"": 0.006946563720703125, ""mean_outside"": 0.0010754266986623406}]"
5093,0.07519089430570602,1.984375,0.05429864302277565,"[{""concept_label"": ""medical_safety"", ""score"": 7.293621063232422, ""mean_inside"": 0.01698811911046505, ""mean_outside"": 0.0010657677194103599}]"
4701,0.07722466439008713,1.9765625,0.11764705926179886,"[{""concept_label"": ""bias_sensitive"", ""score"": 3.312232732772827, ""mean_inside"": 0.0131988525390625, ""mean_outside"": 0.0011571248760446906}]"
140,0.26454320549964905,1.9296875,0.2760181128978729,"[{""concept_label"": ""medical_safety"", ""score"": 15.100008010864258, ""mean_inside"": 0.0572916679084301, ""mean_outside"": 0.004348168149590492}]"
202,0.07257494330406189,1.8515625,0.0859728530049324,"[{""concept_label"": ""legal_reasoning"", ""score"": 7.240773677825928, ""mean_inside"": 0.03125, ""mean_outside"": 0.0}]"
787,0.0949658676981926,1.7421875,0.15837104618549347,"[{""concept_label"": ""sentiment"", ""score"": 1.3669037818908691, ""mean_inside"": 0.00780487060546875, ""mean_outside"": 0.0042324066162109375}]"
4516,0.016465337947010994,1.671875,0.03619909659028053,"[{""concept_label"": ""factual_recall"", ""score"": 14.064104080200195, ""mean_inside"": 0.00830078125, ""mean_outside"": 0.0003957112494390458}]"
3013,0.04339737817645073,1.6328125,0.03619909659028053,"[{""concept_label"": ""bias_sensitive"", ""score"": 3.2590348720550537, ""mean_inside"": 0.00629425048828125, ""mean_outside"": 0.0010236104717478156}]"
2409,0.043362025171518326,1.578125,0.0859728530049324,"[{""concept_label"": ""causal_reasoning"", ""score"": 5.424505710601807, ""mean_inside"": 0.0096435546875, ""mean_outside"": 0.0018503825413063169}]"
6933,0.07935233414173126,1.5703125,0.16742081940174103,"[{""concept_label"": ""sentiment"", ""score"": 2.8424220085144043, ""mean_inside"": 0.00913238525390625, ""mean_outside"": 0.0026632945518940687}]"
4271,0.054892975836992264,1.5546875,0.07692307978868484,"[{""concept_label"": ""mathematical_reasoning"", ""score"": 4736328.0, ""mean_inside"": 0.04736328125, ""mean_outside"": 0.0}]"
3096,0.03683982789516449,1.53125,0.031674209982156754,"[{""concept_label"": ""bias_sensitive"", ""score"": 3.258833169937134, ""mean_inside"": 0.005340576171875, ""mean_outside"": 0.0008700688485987484}]"
2117,0.056627366691827774,1.4375,0.09502262622117996,"[{""concept_label"": ""sentiment"", ""score"": 2.1610636711120605, ""mean_inside"": 0.0063629150390625, ""mean_outside"": 0.001953125}]"
5917,0.04630856215953827,1.4296875,0.06334841996431351,"[{""concept_label"": ""sentiment"", ""score"": 1.11514151096344, ""mean_inside"": 0.0044269561767578125, ""mean_outside"": 0.0018548965454101562}]"
4906,0.017304157838225365,1.4296875,0.027149321511387825,"[{""concept_label"": ""mathematical_reasoning"", ""score"": 1495361.375, ""mean_inside"": 0.01495361328125, ""mean_outside"": 0.0}]"
6066,0.1342410296201706,1.375,0.25339367985725403,"[{""concept_label"": ""factual_recall"", ""score"": 4.602564811706543, ""mean_inside"": 0.0235595703125, ""mean_outside"": 0.0061515807174146175}]"
3009,0.05588500574231148,1.328125,0.0859728530049324,"[{""concept_label"": ""mathematical_reasoning"", ""score"": 4833984.5, ""mean_inside"": 0.04833984375, ""mean_outside"": 0.0}]"
5880,0.052741557359695435,1.3203125,0.06787330657243729,"[{""concept_label"": ""sentiment"", ""score"": 1.1130882501602173, ""mean_inside"": 0.004425048828125, ""mean_outside"": 0.0023180644493550062}]"
4551,0.03424154967069626,1.2734375,0.04524886980652809,"[{""concept_label"": ""mathematical_reasoning"", ""score"": 2954101.5, ""mean_inside"": 0.029541015625, ""mean_outside"": 0.0}]"
1590,0.046203337609767914,1.2421875,0.04977375641465187,"[{""concept_label"": ""sentiment"", ""score"": 1.316473364830017, ""mean_inside"": 0.003955841064453125, ""mean_outside"": 0.0020052592735737562}]"
3564,0.03125883638858795,1.203125,0.05429864302277565,"[{""concept_label"": ""legal_reasoning"", ""score"": 7.716307163238525, ""mean_inside"": 0.011383056640625, ""mean_outside"": 0.00029972620541229844}]"
1264,0.017919480800628662,1.171875,0.04524886980652809,"[{""concept_label"": ""mathematical_reasoning"", ""score"": 1544189.5, ""mean_inside"": 0.01544189453125, ""mean_outside"": 0.0}]"
226,0.02870772033929825,1.125,0.06334841996431351,"[{""concept_label"": ""mathematical_reasoning"", ""score"": 2478027.25, ""mean_inside"": 0.0247802734375, ""mean_outside"": 0.0}]"
6108,0.005194340366870165,1.109375,0.009049774147570133,"[{""concept_label"": ""causal_reasoning"", ""score"": 162.6730499267578, ""mean_inside"": 0.00433349609375, ""mean_outside"": 1.0045369890576694e-05}]"
5052,0.004878393840044737,1.078125,0.004524887073785067,"[{""concept_label"": ""causal_reasoning"", ""score"": 421142.59375, ""mean_inside"": 0.00421142578125, ""mean_outside"": 0.0}]"
4777,0.04973840340971947,1.046875,0.04977375641465187,"[{""concept_label"": ""sentiment"", ""score"": 1.1957831382751465, ""mean_inside"": 0.00391387939453125, ""mean_outside"": 0.0022735595703125}]"
4445,0.020251519978046417,1.0,0.04977375641465187,"[{""concept_label"": ""mathematical_reasoning"", ""score"": 1745605.5, ""mean_inside"": 0.0174560546875, ""mean_outside"": 0.0}]"
3718,0.039177458733320236,0.96484375,0.11312217265367508,"[{""concept_label"": ""medical_safety"", ""score"": 8.775157928466797, ""mean_inside"": 0.009623209945857525, ""mean_outside"": 0.0003832349320873618}]"
769,0.011935273185372353,0.921875,0.022624434903264046,"[{""concept_label"": ""causal_reasoning"", ""score"": 12.538432121276855, ""mean_inside"": 0.0069580078125, ""mean_outside"": 0.0002235412539448589}]"
3723,0.007953902706503868,0.87109375,0.022624434903264046,"[{""concept_label"": ""factual_recall"", ""score"": 15.455931663513184, ""mean_inside"": 0.0045166015625, ""mean_outside"": 0.00015614827862009406}]"
